PHAC vs WHO COVID-19 Case Report Forms - Field and Data Structure Comparisons,,,
LAST UPDATE: 2020-07-28,,,
Field Name,PHAC (Interim National),WHO,Field Count
Unknown,,TRUE,1
Total number of contacts followed for this case,,interger or ☐ Unknown,1
If deceased,,Date of report re-submission (as soon as disease is known or 30 days after initial report),
Death attributed/linked to respiratory illness?,☐ Yes ☐ No ☐ Unknown,TRUE,2
Cause of death (as listed on death certificate),TRUE,,1
Date of Death,mm/dd/yyyy BREAKS PATTERN!,dd/mm/yyyy,2
EXPOSURES (add additional details in the comments section as necessary),,Exposure risk in the 14 days prior to symptom onset (prior to testing if asymptomatic),
"In the 14 days prior to symptom onset, did the case travel outside of their province/territory of residence or outside of Canada?","☐ Yes 
☐ No 
☐ Refused to Answer 
☐ Unknown",☐ No ☐ Yes ☐ Unknown,2
"If yes, specify the following
(REPEATABLE)",,,
Departure Country,(city/country),,1
"Destination
Country",(city/country),(city/country),2
Start Date,mm/dd/yyyy BREAKS PATTERN!,,1
End Date,mm/dd/yyyy BREAKS PATTERN!,TRUE,2
Hotel/Residence,TRUE,,1
"Flight/Carrier Details
(carrier name, 
flight #, seat #)",TRUE,,1
Was the case in close contact* with a symptomatic confirmed or probable case in the 14 days prior to symptom onset?,"☐ Yes 
☐ No 
☐ Unknown","Contact with confirmed (not probable) case:
☐ No ☐ Yes ☐ Unknown",2
"If yes, complete the following (REPEATABLE)",,,
Case ID(s),TRUE,Contact ID,2
Date of First Contact,mm/dd/yyyy BREAKS PATTERN!,TRUE,2
Sustained contact,☐ Y ☐ N ☐ DK,,1
Date of Last Contact,mm/dd/yyyy BREAKS PATTERN!,TRUE,2
Contact Setting Comments,"☐ Healthcare setting
☐ Family Setting
☐ Work place
☐ Unknown
☐ Other, specify ______",TRUE,2
"Was the case in close contact* with a person with fever and/or cough who has been to an affected area** in the 14 days prior to their illness onset?
* close contact is defined as a person who provided care for the patient, including healthcare workers, family members or other caregivers, or who had other similar close physical contact OR who lived with or otherwise had close prolonged contact with a probable or confirmed case while the case was ill.
(REPEATABLE) (page 5)",☐ Yes ☐ No ☐ Unknown,,1
Date of last contact,mm/dd/yyyy BREAKS PATTERN!,,1
"If yes, specify contact setting
","☐ Healthcare setting
☐ Family Setting
☐ Work place
☐ Unknown
☐ Other, specify",,1
"Exposure occurred in Canada
","☐ Yes
☐ No , specify _____
☐ Unknown",,1
"In the 14 days prior to symptom onset, did the case have contact with live animals (not considered household pets) or animal products in any of the affected areas**? 

This includes direct contact with animals, or contact with their feces or urine, soiled bedding/litter, or contact with other animal products (e.g. organs, exotic meats)",☐ Yes ☐ No ☐ Unknown,,1
"If yes, specify what animals or animal products that you had contact with",TRUE,,1
"If yes, where

","☐ Home
☐ Work
☐ During travel
☐ Live animal market",,1
Specify city,TRUE,,1
"14 days prior to symptom onset, is the case a health care worker (any job in a health care setting)",,☐ No ☐ Yes ☐ Unknown,1
"if yes, Country/City/Name of Facility",,TRUE,1
"14 days prior to symptom onset, has the case visited any health care facility",,☐ No ☐ Yes ☐ Unknown,1
Total number of contacts identified for this case,integer,1-5,2
unknown,☐ Unknown,,1
Most likely country of exposure,,TRUE,1
"LABORATORY INFORMATION (microbiology / virology / serology) (complete if applicable)
(REPEATABLE)",,,
Lab ID,TRUE,,1
Specimen Collection Date,mm/dd/yyyy BREAKS PATTERN!,,1
Specimen Type & Source,TRUE,,1
Test Method,TRUE,,1
"Test Result
","☐ positive 
☐ negative 
☐ inconclusive 
☐ pending",,1
Test Date,mm/dd/yyyy BREAKS PATTERN!,"dd/mm/yyyy*
Specifically first lab confirmation test, and last lab test (if release from hospital/isolation)",2
Results of National Microbiology Laboratory confirmatory testing:  (page 5),"☐ Not submitted 
☐ Positive 
☐ Negative 
☐ Inconclusive 
☐ Pending",,1
Date of NML confirmation:,mm/dd/yyyy BREAKS PATTERN!,,1
ADDITIONAL DETAILS/COMMENTS,TRUE,,1
Specimen Type & Source,,,
TO BE COMPLETED BY: The Public Health Agency of Canada,,,
Date Received,mm/dd/yyyy BREAKS PATTERN!,,1
PHAC Case ID,TRUE,Unique Case Identifier (used in country),2
"If applicable, national outbreak ID",TRUE,,1
