QC - Declaration des cas confirmes et des cas cliniques de COVID-19 20-210-103W [2020],,,
DÉCLARATION DES CAS CONFIRMÉS ET DES CAS CLINIQUES DE COVID-19,,,Grey indicates overlap with previous case form
Travailleur dans le milieu de la santé,School or daycare worker,"☐ Yes
 ☐ No
 ☐ Unknown",
Autre travailleur,Other worker,"☐ Yes
 ☐ No
 ☐ Unknown",
"Description de l'emploi ou tâche principale (ex: infirmière, cuisinier, policier)","Description of the job or main task (e.g. nurse, cook, police)",,
Travailleur en contact direct avec la clientèle?,Worker in direct contact with customers?,"☐ Yes
 ☐ No
 ☐ Unknown",
Préciser le milieu de travail,Specify the workplace,,
Nom du milieu,Name of environment,,
Adresse du milieu de travail,Workplace address,,
Nom d'un contact en milieu de travail,Name of a workplace contact,,
Numéro de téléphone du contact en milieu de travail,Workplace Contact Phone Number,,
,,,
Signature,signature,,
Date,date,,
Numéro de permis,License number,,
