   Fatigue/prostration,,,,,,TRUE,,
Fever,-,-,-,-,TRUE,TRUE,-,
   Fever (≥38°C),TRUE,/,-,,,TRUE,TRUE,
      Fever (>38°C),,/,TRUE,,,,,
"   Fever (if yes, specify the highest temperature recorded)",,TRUE,,,-,-,,
      Fever (temperature if known) or (temperature not taken),,-,,,TRUE,TRUE,,
   Chills,-,TRUE,TRUE,-,,-,,
      Feverish/chills (temperature not taken),TRUE,,,-,,,TRUE,
         Fever/chills,,,,TRUE,,,,
General weakness,TRUE,,,,,,TRUE,
Headache,TRUE,TRUE,TRUE,TRUE,(CI),TRUE,TRUE,
Hypotension,(CECD),-,,,TRUE,(CE),(PERF),
   Hypotension (low blood pressure),-,TRUE,,,-,-,,
Malaise,,,,,TRUE,-,,
   Malaise/chills,,,,,,TRUE,,
Nose bleed,,,,,,TRUE,,
Otitis,,,,,,TRUE,,
"Pain (muscular, chest, abdominal, joint, etc.)",TRUE,-,-,,-,-,TRUE,
   Abdominal pain/cramping,,,TRUE,,,TRUE,,
   Arthralgia (painful joints) /joint pain,,TRUE,,,,TRUE,,
   Chest pain,,,,,,TRUE,,
   Myalgia (Muscle pain),,TRUE,-,,-,,,
      Muscle pain (Myalgia),,-,TRUE,,-,,,
         Myalgia      ,,-,-,,TRUE,,,
Pregnancy,(PCRF),(RF),-,,-,(RF),(PERF),
   Pregnant,-,-,-,,(PCRF),TRUE,-,
   Pregnant at time of diagnosis,-,-,(RFI),,-,-,-,
     In labour,,,,,,TRUE,,
Rash,,,,,,TRUE,,
Renal failure,(CECD),(CECD),TRUE,,,,(PERF),
Rhinorrhea/nasal congestion,-,-,-,,-,TRUE,(S) / (PERF),
   Runny Nose,TRUE,-,,,-,,TRUE,
      Rhinorrhea,,-,,,TRUE,,-,
      Rhinorrhea (runny nose),,TRUE,,,-,,-,
Seizure,,TRUE,TRUE,,,TRUE,,
Sepsis,(CECD),(CECD),-,,,(CI)(CE),(PERF),
   Septicemia or Sepsis,-,-,TRUE,,,,,
Sneezing,,,,,,TRUE,,
Sore Throat ,TRUE,-,TRUE,TRUE,TRUE,TRUE,TRUE,
   Pharyngitis (sore throat),-,TRUE,-,-,-,-,,
      Pharyngeal exudate,(CECD),(CECD),,,TRUE,,,
Sputum production,,,,,,TRUE,,
Swollen lymph nodes,,,,,,TRUE,,
Tachypnea (rapid breathing),-,TRUE,,,-,-,-,
   Tachypnea (accelerated respiratory rate),(CECD),-,,,TRUE,(CI)(CE),(PERF),
"Other, specify",TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,
Pre-Existing Conditions & Risk Factors (PCRF),Pre-existing Conditions and Risk Factors (PCRF),Risk Factors (RF),Risk Factor Information (RFI) [Exposure Overlap!],Risk Factors (RF) [Assessment Details],Pre-existing Conditions & Risk Factors,-,-,Clinical Status - Underlying Conditions and Comorbidity (CS/UCC)
Abnormal lung auscultation,(CECD),(CECD),,,(SS),,TRUE,
Altered mental status,(CECD),(CECD),-,,(SS),(CI)(CE),TRUE,
Age 60+,,,,TRUE,,,,
"Animal or Animal Waste Contact (live animal markets, not including domestic pets, within 14 days of symptom onset)",?,?,TRUE,,,,,
Cardiac disease,TRUE,-,TRUE,-,,TRUE,TRUE,-
   Cardio-vascular disease,-,-,-,TRUE,,,,TRUE
      Chronic cardiac disease,-,TRUE,-,-,,,,
Chronic neurological or neuromuscular disorder,TRUE,TRUE,,,-,-,TRUE,TRUE
   Neurological disorder,,,,,-,TRUE,,
      Chronic neurological,,,,,TRUE,-,,
      Epilepsy,,,,,,TRUE,,
   Neuromuscular disorder,,,,,TRUE,,,
Clinical or radiological evidence of pneumonia,(CECD),,(SS),,(SS) / (CI)(CE),(CI)(CE),TRUE,
Coma,(CECD),(SS),,,(SS),,TRUE,
Conjunctivitis,-,(SS),,,-,(SS),-,
   Conjunctival injection,(CECD),,,,(SS),,TRUE,
"Contact of a new or previously diagnosed case (confirmed or probable, within 14 days of symptom onset)",?,?,TRUE,,,,,
Contact with someone with similar illness (within 14 days of symptom onset),?,?,TRUE,,,,,
Convulsions,,,,,,,TRUE,
Diagnosed with Acute Respiratory Distress Syndrome,(CECD),-,-,,-,(CI)(CE),TRUE,
Metabolic Disease,-,-,-,-,-,TRUE,-,
   Diabetes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
   Severe Obesity,,,,,,,TRUE,
   Obese (BMI > 30),,,,,,TRUE,,
Encephalitis,(CECD),(SS),(SS),,(SS),(CI)(CE),TRUE,
Exposure setting location: other province in Canada (within 14 days of symptom onset),?,?,TRUE,,,,,
Exposure setting location: outside Canada (within 14 days of symptom onset),?,?,TRUE,,,,,
Hemoglobinopathy/Anemia,,,,,,TRUE,,
Hypertension,,,TRUE,TRUE,,,,TRUE
Hypotension,(CECD),(SS),,,(SS),(CI)(CE),TRUE,
Immunocompromised,-,TRUE,TRUE,,TRUE,-,-,
   Immunodeficiency disease/condition,TRUE,,,,,TRUE,TRUE,
"      Immunodeficiency, including HIV",,,,,,,,TRUE
      Receiving immunosuppressing medications,,,,,,TRUE,,
Kidney Disease,,TRUE,-,,-,-,,-
   Renal Disease,,,-,,TRUE,TRUE,,TRUE
      Chronic Kidney Disease,,,TRUE,,,,,
Liver Disease,TRUE,TRUE,-,,TRUE,-,TRUE,TRUE
   Hepatic Disease,-,-,-,,-,TRUE,,
   Chronic Liver Disease,,,TRUE,,,,,
Malignancy/Cancer,-,TRUE,,-,-,-,TRUE,-
   Cancer,-,-,,TRUE,-,-,-,-
      Malignancy,TRUE,-,,-,TRUE,TRUE,-,TRUE
Neonatal complications,,,,,,,TRUE,
O2 saturation <95%,(CECD),(CECD),,,,(CI)(CE),TRUE,
Outbreak Associated,?,?,TRUE,,,,,
Post-partum (≤6 weeks),TRUE,-,,,,TRUE,TRUE,TRUE
   Post-partum (≤6 weeks) at time of symptom onset,,TRUE,,,,,,
Pregnancy,TRUE,TRUE,-,,-,TRUE,TRUE,
   Pregnant at time of diagnosis,-,-,TRUE,,-,-,-,
   Pregnant,-,-,-,,TRUE,(S) / (CI)(CE),-,-
"      If yes, trimester",TRUE,-,,,,-,TRUE,TRUE
"      if yes, gestation age (weeks) week of gestation",,TRUE,,,,TRUE,,
   In labour,,,,,,(S) / (CI)(CE),,
   Estimated Date of Conception,,,TRUE,,,,,
Pregancy Complications and unfavorable issues,,,,,,,TRUE,
Renal failure,(CECD),(CECD),(SS),,,(CI)(CE),TRUE,
Rhinorrhea/nasal congestion,-,-,-,,-,(S),(S) / (PERF),
Respiratory disease   ,,-,-,-,TRUE,TRUE,,
    Chronic respiratory/pulmonary condition,,TRUE,-,-,-,-,,-
      Chronic lung disease,,,,,,,,TRUE
      Chronic pulmonary disease,,-,TRUE,-,,-,,
      Chronic respiratory disease,,-,-,TRUE,,-,,
         Asthma,,,,,,TRUE,,
         Tuberculosis,,,,,,TRUE,,
Sepsis,(CECD),(CECD),(SS),,,(CI)(CE),TRUE,
Substance use,,,-,,,-,TRUE,
   Alcohol abuse,,,,,,TRUE,,
   Injection drug use,,,,,,TRUE,,
   Smoker (current) / Smoking,,,,,,TRUE,TRUE,
   Vaping,,,TRUE,,,,,
Tachypnea (accelerated respiratory rate),(CECD),(SS),,,(SS),(CI)(CE),TRUE,
Other Chronic Conditions,,,,,,TRUE,,
"Other, specify",TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE
"Clinical Evaluations, Complications, and Diagnoses (CECD)","Clinical Evaluations, Complications, and Diagnoses (CECD)","Clinical Evaluations, Complications and Diagnoses (CECD)",-,-,Clinical Information (CI) [Symptom (S)] [Signs & Symptoms],"Clinical Information (CI) [Symptom (S)], Clinical Evaluations (CE)",-,-
Abnormal lung auscultation,TRUE,TRUE,,,(SS),,(PERF),
Altered mental status,TRUE,TRUE,-,,(SS),TRUE,(PERF),
"   Confusion, Altered Mental State",,,(SS),,-,,,
Anosmia,,,,,TRUE,,,
Arrhythmia,,,,,,TRUE,,
Clinical or radiological evidence of pneumonia,TRUE,,-,,TRUE,TRUE,(PERF),
   Pneumonia,-,,(SS),,-,TRUE,,
Coma,TRUE,(SS),,,(SS),,(PERF),
Conjunctivitis,-,(SS),,,-,(SS),-,
   Conjunctival injection,TRUE,,,,(SS),,(PERF),
Cough,(SS),(SS),-,-,TRUE,TRUE,(S),
Diagnosed with Acute Respiratory Distress Syndrome,TRUE,-,-,,-,TRUE,(PERF),
   Acute Respiratory Distress Syndrome,,(SS),(SS),,(SS),,,
Diarrhea/Nausea/Vomiting,-,-,-,,-,,,
      Diarrhea/Vomiting,,,,,TRUE,,,
Dyspnea,-,-,-,,TRUE,,,
Encephalitis,TRUE,(SS),(SS),,(SS),TRUE,(PERF),
Fatigue,,,,,TRUE,-,,
   Fatigue/prostration,,,,,,(S),,
Hypotension,TRUE,-,,,(SS),TRUE,(PERF),
   Hypotension (low blood pressure),-,(SS),,,-,-,,
   Myalgia (Muscle pain),,(SS),-,,-,,,
      Muscle pain (Myalgia),,-,(SS),,-,,,
         Myalgia      ,,-,-,,TRUE,,,
Malaise,,,,,TRUE,-,,
   Malaise/chills,,,,,,(S),,
Meningismus/nuchal rigidity,,,,,,TRUE,,
O2 saturation <95%,TRUE,TRUE,,,,-,(PERF),
   O2 saturation <=95%,-,-,,,,TRUE,,
Pregnancy,(PCRF),(RF),-,,-,-,(PERF),
   Pregnant at time of diagnosis,-,-,(RFI),,-,-,-,
   Pregnant,-,-,-,,(PCRF),TRUE,-,
     In labour,,,,,,TRUE,,
Renal failure,TRUE,TRUE,(SS),,,TRUE,(PERF),
Rhinorrhea/nasal congestion,-,-,-,-,-,,(S) / (PERF),
   Rhinorrhea,,-,,,TRUE,,,
Seizure,TRUE,,,,,,,
Sepsis,TRUE,TRUE,(SS),,,TRUE,(PERF),
Sore Throat ,(S),-,(SS),(S)(SS),TRUE,TRUE,(S),
   Pharyngitis (sore throat),-,(SS),-,-,-,-,,
      Pharyngeal exudate,TRUE,TRUE,,,(SS),,,
Tachypnea (accelerated respiratory rate),TRUE,(SS),,,(SS),TRUE,(PERF),
"Other, specify",TRUE,TRUE,,,TRUE,TRUE,,
